City,Rating,Price,NumOfReview
Seattle,4.4,219,1065
Seattle,4.2,199,1375
Seattle,4.3,205,2309
Seattle,3.2,135,390
Seattle,4.4,190,1271
Seattle,4.5,316,1312
Seattle,4.4,189,541
Seattle,4.4,349,2366
Seattle,4.3,249,5092
Seattle,4.6,297,2510
Seattle,4.1,149,963
Seattle,4.5,209,865
Seattle,4.5,353,811
Seattle,3.3,85,198
Seattle,4.1,133,634
Seattle,4.7,550,82
Seattle,4.3,279,2601
Seattle,4.5,359,3049
Seattle,4.7,720,1531
Seattle,4.4,133,1492
Seattle,4.5,395,881
Seattle,4.2,220,46
Seattle,4.4,264,902
Seattle,4.4,439,1222
Seattle,4.4,389,693
Seattle,4.4,220,769
Boston,4.1,240,409
Boston,4.1,287,5605
Boston,4.2,344,4517
Boston,4.2,293,1770
Boston,4.4,705,2767
Boston,4.4,409,2879
Boston,4.1,322,758
Boston,4.3,289,863
Boston,4.4,249,3605
Boston,4.2,315,2054
Boston,4.5,786,1296
Boston,4.5,259,1342
Boston,4,224,1051
Boston,4.5,320,1876
Boston,4.2,315,2054
Boston,4.1,309,1030
Boston,4.1,242,2275
Boston,4.5,299,618
Boston,4.6,469,572
Boston,4.6,521,51
Boston,4.3,354,616
Boston,4.3,431,1200
Boston,4.2,325,976
Boston,4.4,252,216
Boston,4.5,827,656
,,,
All hotels were gathered with rooms that support up to 4 people. Could change it to a different limitation if needed. Source Google Maps,,,
